timestamp,x,y,z
1726361628.9803412,0.55,-0.37,-0.12
1726361629.2334988,1.16,0.24,0.12
1726361629.4854958,1.34,-0.37,-0.24
1726361629.738529,1.65,-0.06,0.24
1726361629.9894633,1.95,-0.24,0.79
1726361630.2397306,2.14,-0.37,1.22
1726361630.4924686,1.83,-1.65,-1.83
1726361630.7476618,2.14,-1.22,-3.6
1726361631.0018065,1.22,-2.2,-9.34
1726361631.2522404,6.53,-3.97,-6.59
1726361631.5040615,6.77,-4.94,-6.41
1726361631.7572389,3.54,-1.95,-2.81
1726361632.0116608,2.14,-1.77,-1.1
1726361632.2598646,1.1,-1.1,-0.55
1726361632.5131788,0.18,-0.43,-0.43
1726361632.765311,-2.81,2.44,0.85
1726361633.0173,-2.81,5.31,1.71
1726361633.2683725,2.2,2.32,-1.77
1726361633.5201862,3.3,-4.46,-3.97
1726361633.7687714,0.98,-3.85,-6.59
1726361634.020093,1.46,1.22,-7.39
1726361634.2704985,6.65,2.87,-4.21
1726361634.526932,-0.98,-1.89,1.34
1726361635.0101912,0.43,-0.67,1.4
1726361635.2545753,0.43,-1.22,1.34
1726361635.5016112,1.46,-2.99,-0.18
1726361635.747183,1.46,-1.53,-0.55
1726361635.999568,1.28,-1.46,0.12
1726361636.2473977,0.06,-1.46,1.16
1726361636.4953773,0.61,-2.38,0.79
1726361636.741239,1.53,-1.46,0.73
1726361636.9888606,0.79,-1.1,0.06
1726361637.2345893,0.31,-0.61,1.28
1726361637.4786422,0.37,0.31,1.53
1726361637.7224898,0.24,-0.92,1.22
1726361637.9670196,2.44,-1.34,-0.61
1726361638.210491,0.31,-1.16,2.56
1726361638.4569325,0.67,-1.4,1.71
1726361638.7045379,-0.85,-1.59,0.43
1726361638.9456813,-1.28,-0.92,1.59
1726361639.1939907,-0.85,-0.49,0.49
1726361639.4395072,-1.22,1.1,2.01
1726361639.6806862,1.1,2.2,1.53
1726361639.929549,0.98,0.67,0.55
1726361640.1753895,0.0,-1.83,1.22
1726361640.4216013,0.24,-0.43,0.85
1726361640.665632,0.43,-0.31,0.12
1726361640.9157376,0.61,-0.61,-0.43
1726361641.1648192,0.92,-0.85,-0.73
